Team,Date,Game,PTS,AVGPTS,OppPts,AVGOppPTS,FG,FGPCT,3PPCT,FTPCT,OREB,DREB,REB,AST,STL,TO,PF
Golden State Warriors,October,3,1,119,39,102.3,43.3,0.476,0.407,0.756,11.7,35.3,47,27,9,12.7,25.7
Golden State Warriors,November,16,20,114.6,100,99.5,42.1,0.494,0.435,0.763,10.8,35,45.8,29.8,8.8,16.8,20.8
Golden State Warriors,December,13,100,112.3,100,105.1,41,0.473,0.41,0.728,11.2,37.1,48.2,27.4,8.2,15.9,19.8
Golden State Warriors,January,16,100,116.8,100,102.9,43.9,0.505,0.439,0.78,8.9,37.6,46.5,30.7,7.6,14.4,20.4
Golden State Warriors,February,10,100,117.6,100,112.8,43.5,0.479,0.387,0.746,9.3,34.7,44,28.1,9.4,14.5,21.5
Golden State Warriors,March,17,100,114,100,103.9,42.1,0.479,0.398,0.774,9.8,36.4,46.2,28.8,8.6,14.1,20.5
Golden State Warriors,April,7,9000,112.6,8000,104.9,43,0.499,0.42,0.832,8.7,36.7,45.4,28.1,7.3,16.6,20.6
Chicago Bulls,November,14,2,103.5,2,95,40.4,0.482,0.365,0.712,12.9,0,41.5,26.1,9.3,14.1,26.2
Chicago Bulls,December,14,1,109.9,10,98.4,42.1,0.498,0.44,0.766,15.4,0,45.6,23.4,8.7,13.6,21.5
Chicago Bulls,January,14,1,106.7,10,89.5,41,0.48,0.427,0.741,17.9,0,46.8,25.8,8.6,15.9,20.8
Chicago Bulls,February,14,1,104.8,300,96.7,39.2,0.464,0.412,0.771,15.5,0,43.7,24.6,8.9,11.9,21
Chicago Bulls,March,14,20,102.4,300,88.6,39.3,0.477,0.365,0.746,13.7,0,44.4,24.5,9.6,14.2,20.7
Chicago Bulls,April,12,8600,103.7,6999,88.8,38.8,0.463,0.403,0.738,16.1,0,45.8,24.3,9.5,13.3,22